Comuna;CODIGO_DEIS;Establecimiento;Dosis;N° de vacunados;Criterio_elegibilidad;Servicio;Código Antiguo ;latitud;longitud
Peñalolén;12-314;Centro de Salud Familiar La Faena;Única;943;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-314;-33.467931;-70.556011
Peñalolén;12-315;Centro de Salud Familiar San Luis;Única;877;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-315;-33.508122;-70.577994
Peñalolén;12-316;Centro de Salud Familiar Carol Urzúa Ibáñez;EPRO;1;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-316;-33.476897;-70.542996
Peñalolén;12-316;Centro de Salud Familiar Carol Urzúa Ibáñez;Única;1753;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-316;-33.476897;-70.542996
Peñalolén;12-318;Centro de Salud Familiar Lo Hermida;EPRO;1;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-318;-33.476942;-70.562722
Peñalolén;12-318;Centro de Salud Familiar Lo Hermida;Única;807;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-318;-33.476942;-70.562722
Peñalolén;12-321;Centro de Salud Familiar Cardenal Silva Henríquez;Única;541;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-321;-33.470387;-70.532225
Peñalolén;12-322;Centro de Salud Familiar Padre Gerardo Whelan;Única;719;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-322;-33.473974;-70.574226
Peñalolén;12-930;Clínica Las Condes Peñalolén;Única;200;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-930;-33.489949;-70.544831
Peñalolén;201112;CESFAM Las Torres;Única;891;Enfermos cronicos de 11 a 64 años de edad;Oriente;201112;-33.50287;-70.577602
Pirque;14-310;Centro de Salud Familiar Dr. José Manuel Balmaceda;Única;484;Enfermos cronicos de 11 a 64 años de edad;Suroriente;14-310;-33.635077;-70.572477
Pirque;14-333;Centro de Salud Rural El Principal;Única;490;Enfermos cronicos de 11 a 64 años de edad;Suroriente;14-333;-33.720684;-70.553279
Providencia;12-100;Hospital Del Salvador de Santiago;Única;1;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-100;-33.43664;-70.624493
Providencia;12-103;Instituto Nacional de Enfermedades Respiratorias y Cirugía Torácica;Única;4;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-103;-33.437988;-70.621882
Providencia;12-104;Instituto de Neurocirugía Dr. Alfonso Asenjo;Única;4;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-104;-33.436888;-70.622448
Providencia;12-211;Clínica Indisa;Única;145;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-211;-33.43333;-70.62855
Providencia;12-244;Hospital del Trabajador Santiago;Única;184;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-244;-33.443625;-70.632551
Providencia;12-249;Clínica Santa María;Única;407;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-249;-33.43282;-70.62822
Providencia;12-301;Centro de Salud Familiar Dr. Hernán Alessandri;Única;820;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-301;-33.444228;-70.620427
Providencia;12-302;Centro de Salud Familiar Dr. Alfonso Leng;Única;1550;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-302;-33.431406;-70.618809
Providencia;12-303;Centro de Salud Familiar Aguilucho;Única;1309;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-303;-33.442673;-70.597096
Providencia;12-943;Vacunatorio RENVAC;Única;13;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-943;-33.425381;-70.614023
Providencia;12-944;Vacunatorio Internacional Immunitas SpA;Única;44;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-944;-33.423268;-70.609892
Providencia;12-945;Vacunatorio Clínica El Bosque;Única;44;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-945;-33.42821;-70.619211
Providencia;12-998;Centro Médico HTS SpA;Única;24;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-998;-33.444151;-70.63295
Providencia;14-104;Hospital Metropolitano ( ex Militar );Única;3;Enfermos cronicos de 11 a 64 años de edad;Oriente;14-104;-33.418942;-70.605168
Providencia;200919;VACUMED;Única;18;Enfermos cronicos de 11 a 64 años de edad;Oriente;200919;-33.435545;-70.631183
Providencia;201156;VAXPROSALUD;Única;58;Enfermos cronicos de 11 a 64 años de edad;Oriente;201156;-33.427625;-70.592504
Pudahuel;10-350;Centro de Salud Familiar Pudahuel Estrella;EPRO;2;Enfermos cronicos de 11 a 64 años de edad;Occidente;10-350;-33.437387;-70.750666
Pudahuel;10-350;Centro de Salud Familiar Pudahuel Estrella;Única;1599;Enfermos cronicos de 11 a 64 años de edad;Occidente;10-350;-33.437387;-70.750666
Pudahuel;10-351;Centro de Salud Familiar Pudahuel Poniente;EPRO;1;Enfermos cronicos de 11 a 64 años de edad;Occidente;10-351;-33.447426;-70.76289
Pudahuel;10-351;Centro de Salud Familiar Pudahuel Poniente;Única;1404;Enfermos cronicos de 11 a 64 años de edad;Occidente;10-351;-33.447426;-70.76289
Pudahuel;10-352;Centro de Salud Familiar Dr. Gustavo Molina;Única;3036;Enfermos cronicos de 11 a 64 años de edad;Occidente;10-352;-33.458131;-70.76084
Pudahuel;10-353;Centro de Salud Familiar Cardenal Raúl Silva Henríquez;Única;1563;Enfermos cronicos de 11 a 64 años de edad;Occidente;10-353;-33.429;-70.770919
Pudahuel;10-354;Centro de Salud Familiar Violeta Parra;Única;4134;Enfermos cronicos de 11 a 64 años de edad;Occidente;10-354;-33.456935;-70.742752
Pudahuel;201146;Centro Medico y Dental Del Valle;Única;182;Enfermos cronicos de 11 a 64 años de edad;Occidente;201146;-33.45267;-70.848608
Puente Alto;14-101;Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto);Única;1;Enfermos cronicos de 11 a 64 años de edad;Suroriente;14-101;-33.577251;-70.581781
Puente Alto;14-232;Centro Médico y Dental Megasalud Puente Alto;Única;8;Enfermos cronicos de 11 a 64 años de edad;Suroriente;14-232;-33.572803;-70.582526
Puente Alto;14-301;Centro de Salud Familiar Dr. Alejandro del Río;EPRO;1;Enfermos cronicos de 11 a 64 años de edad;Suroriente;14-301;-33.607158;-70.578452
Puente Alto;14-301;Centro de Salud Familiar Dr. Alejandro del Río;Única;2174;Enfermos cronicos de 11 a 64 años de edad;Suroriente;14-301;-33.607158;-70.578452
Puente Alto;14-312;Centro de Salud Familiar San Gerónimo;EPRO;1;Enfermos cronicos de 11 a 64 años de edad;Suroriente;14-312;-33.623527;-70.588387
Puente Alto;14-312;Centro de Salud Familiar San Gerónimo;Única;1102;Enfermos cronicos de 11 a 64 años de edad;Suroriente;14-312;-33.623527;-70.588387
Puente Alto;14-313;Centro de Salud Familiar Vista Hermosa;Única;818;Enfermos cronicos de 11 a 64 años de edad;Suroriente;14-313;-33.61107;-70.521039
Puente Alto;14-320;Centro de Salud Familiar Bernardo Leighton;Única;1305;Enfermos cronicos de 11 a 64 años de edad;Suroriente;14-320;-33.584276;-70.604383
Puente Alto;14-321;Centro de Salud Familiar Cardenal Silva Henríquez;Única;908;Enfermos cronicos de 11 a 64 años de edad;Suroriente;14-321;-33.627923;-70.616459
Puente Alto;14-322;Centro de Salud Familiar Padre Manuel Villaseca;Única;1831;Enfermos cronicos de 11 a 64 años de edad;Suroriente;14-322;-33.583959;-70.556326
Puente Alto;14-323;Centro de Salud Familiar Madre Teresa de Calcuta Red de Salud UC CHRISTUS;Única;436;Enfermos cronicos de 11 a 64 años de edad;Suroriente;14-323;-33.614332;-70.552683
Puente Alto;14-326;Centro de Salud Familiar Karol Wojtyla;Única;683;Enfermos cronicos de 11 a 64 años de edad;Suroriente;14-326;-33.625966;-70.625759
Puente Alto;14-329;Centro de Salud Familiar San Alberto Hurtado Red de Salud UC CHRISTUS;Única;477;Enfermos cronicos de 11 a 64 años de edad;Suroriente;14-329;-33.59663;-70.556535
Puente Alto;14-332;Centro de Salud Familiar Laurita Vicuña;EPRO;1;Enfermos cronicos de 11 a 64 años de edad;Suroriente;14-332;-33.591149;-70.595281
Puente Alto;14-332;Centro de Salud Familiar Laurita Vicuña;Única;5557;Enfermos cronicos de 11 a 64 años de edad;Suroriente;14-332;-33.591149;-70.595281
Quilicura;09-313;Centro de Salud Familiar Irene Frei de Cid;Única;1245;Enfermos cronicos de 11 a 64 años de edad;Norte;09-313;-33.365842;-70.746633
Quilicura;09-315;Centro de Salud Familiar Manuel Bustos Huerta;EPRO;2;Enfermos cronicos de 11 a 64 años de edad;Norte;09-315;-33.354232;-70.720395
Quilicura;09-315;Centro de Salud Familiar Manuel Bustos Huerta;Única;1439;Enfermos cronicos de 11 a 64 años de edad;Norte;09-315;-33.354232;-70.720395
Quilicura;09-324;Centro de Salud Familiar Presidente Salvador Allende Gossens;Única;1893;Enfermos cronicos de 11 a 64 años de edad;Norte;09-324;-33.354498;-70.737981
Quilicura;201091;CESFAM Marta Ugarte Román;Única;2264;Enfermos cronicos de 11 a 64 años de edad;Norte;201091;-33.369414;-70.73201
Quinta Normal;10-120;Hospital Dr. Félix Bulnes Cerda (Santiago, Quinta Normal);Única;455;Enfermos cronicos de 11 a 64 años de edad;Occidente;10-120;-33.415057;-70.696103
Quinta Normal;10-310;Centro de Salud Familiar Andes;Única;888;Enfermos cronicos de 11 a 64 años de edad;Occidente;10-310;-33.434192;-70.692944
Quinta Normal;10-320;Centro de Salud Familiar Lo Franco;Única;1313;Enfermos cronicos de 11 a 64 años de edad;Occidente;10-320;-33.422508;-70.694803
Quinta Normal;10-325;Centro de Salud Familiar Garín;Única;1334;Enfermos cronicos de 11 a 64 años de edad;Occidente;10-325;-33.430421;-70.714351
Recoleta;09-201;Clínica Dávila;Única;97;Enfermos cronicos de 11 a 64 años de edad;Norte;09-201;-33.427257;-70.648544
Recoleta;09-301;Centro de Salud Familiar Recoleta;EPRO;1;Enfermos cronicos de 11 a 64 años de edad;Norte;09-301;-33.423922;-70.645768
Recoleta;09-301;Centro de Salud Familiar Recoleta;Única;1699;Enfermos cronicos de 11 a 64 años de edad;Norte;09-301;-33.423922;-70.645768
Recoleta;09-303;Centro de Salud Familiar Quinta Bella;Única;796;Enfermos cronicos de 11 a 64 años de edad;Norte;09-303;-33.403207;-70.634602
Recoleta;09-304;Centro de Salud Familiar Valdivieso;Única;568;Enfermos cronicos de 11 a 64 años de edad;Norte;09-304;-33.410322;-70.631219
Recoleta;09-307;Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie);Única;809;Enfermos cronicos de 11 a 64 años de edad;Norte;09-307;-33.384392;-70.644939
Recoleta;09-390;Centro de Salud Familiar Cristo Vive (ONG);Única;1725;Enfermos cronicos de 11 a 64 años de edad;Norte;09-390;-33.387053;-70.641803
Renca;10-360;Centro de Salud Familiar Renca;Única;1653;Enfermos cronicos de 11 a 64 años de edad;Occidente;10-360;-33.403452;-70.709698
Renca;10-361;Centro de Salud Familiar Bicentenario;Única;1056;Enfermos cronicos de 11 a 64 años de edad;Occidente;10-361;-33.397669;-70.749713
Renca;10-362;Centro de Salud Familiar Dr. Hernán Urzúa Merino;Única;676;Enfermos cronicos de 11 a 64 años de edad;Occidente;10-362;-33.411478;-70.728472
Renca;10-364;Centro de Salud Familiar Huamachuco;Única;800;Enfermos cronicos de 11 a 64 años de edad;Occidente;10-364;-33.39126;-70.698932
San Bernardo;13-313;Centro de Salud Familiar Raúl Cuevas (Ex-San Bernardo);Única;1013;Enfermos cronicos de 11 a 64 años de edad;Sur;13-313;-33.597631;-70.714846
San Bernardo;13-315;Centro de Salud Familiar Confraternidad;Única;869;Enfermos cronicos de 11 a 64 años de edad;Sur;13-315;-33.589661;-70.682857
San Bernardo;13-316;Centro de Salud Familiar Carol Urzúa;Única;1165;Enfermos cronicos de 11 a 64 años de edad;Sur;13-316;-33.575808;-70.703607
San Bernardo;13-328;Centro de Salud Familiar Padre Joan Alsina;Única;725;Enfermos cronicos de 11 a 64 años de edad;Sur;13-328;-33.613987;-70.697869
San Bernardo;13-330;Centro de Salud Familiar Raúl Brañes F.;Única;1010;Enfermos cronicos de 11 a 64 años de edad;Sur;13-330;-33.59866;-70.68036
San Bernardo;13-332;Centro de Salud Familiar Juan Pablo II ( San Bernardo);Única;824;Enfermos cronicos de 11 a 64 años de edad;Sur;13-332;-33.584476;-70.692076
San Bernardo;13-394;Centro de Salud Familiar El Manzano;Única;734;Enfermos cronicos de 11 a 64 años de edad;Sur;13-394;-33.590706;-70.666217
San Bernardo;13-716;Centro Comunitario de Salud Familiar Rapa Nui;Única;6;Enfermos cronicos de 11 a 64 años de edad;Sur;13-716;-33.563233;-70.705938
San Joaquín;13-301;Centro de Salud Familiar San Joaquín;Única;1311;Enfermos cronicos de 11 a 64 años de edad;Sur;13-301;-33.486494;-70.623533
San Joaquín;13-305;Centro de Salud Familiar Arturo Baeza Goñi;Única;760;Enfermos cronicos de 11 a 64 años de edad;Sur;13-305;-33.491964;-70.633221
San Joaquín;13-322;Centro de Salud Familiar Santa Teresa de Los Andes;Única;1028;Enfermos cronicos de 11 a 64 años de edad;Sur;13-322;-33.506303;-70.624386
San José de Maipo;14-102;Hospital San José de Maipo;Única;356;Enfermos cronicos de 11 a 64 años de edad;Suroriente;14-102;-33.641256;-70.352299
San José de Maipo;14-407;Posta de Salud Rural Las Vertientes;Única;250;Enfermos cronicos de 11 a 64 años de edad;Suroriente;14-407;-33.592102;-70.482171
San Miguel;13-100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Única;6;Enfermos cronicos de 11 a 64 años de edad;Sur;13-100;-33.485147;-70.644439
San Miguel;13-130;Hospital Dr. Exequiel González Cortés (Santiago, San Miguel);Única;63;Enfermos cronicos de 11 a 64 años de edad;Sur;13-130;-33.484761;-70.648129
San Miguel;13-160;Hospital de Enfermedades Infecciosas Dr. Lucio Córdova (Santiago, San Miguel);Única;46;Enfermos cronicos de 11 a 64 años de edad;Sur;13-160;-33.485344;-70.645169
San Miguel;13-300;Centro de Salud Familiar Barros Luco;Única;1729;Enfermos cronicos de 11 a 64 años de edad;Sur;13-300;-33.48279;-70.648764
San Miguel;13-302;Centro de Salud Familiar Recreo;Única;2136;Enfermos cronicos de 11 a 64 años de edad;Sur;13-302;-33.510116;-70.64902
San Pedro;10-387;Centro de Salud Familiar San Pedro;Única;444;Enfermos cronicos de 11 a 64 años de edad;Occidente;10-387;-33.895313;-71.454412
San Ramón;14-103;Hospital Padre Alberto Hurtado (San Ramón);Única;26;Enfermos cronicos de 11 a 64 años de edad;Suroriente;14-103;-33.5525;-70.635024
San Ramón;14-307;Centro de Salud Familiar La Bandera;Única;796;Enfermos cronicos de 11 a 64 años de edad;Suroriente;14-307;-33.545428;-70.644824
San Ramón;14-314;Centro de Salud Familiar Dr. Salvador Allende (Ex Consultorio San Ramón);EPRO;1;Enfermos cronicos de 11 a 64 años de edad;Suroriente;14-314;-33.537986;-70.640552
San Ramón;14-314;Centro de Salud Familiar Dr. Salvador Allende (Ex Consultorio San Ramón);Única;1446;Enfermos cronicos de 11 a 64 años de edad;Suroriente;14-314;-33.537986;-70.640552
San Ramón;14-328;Centro de Salud Familiar Poetisa Gabriela Mistral;EPRO;1;Enfermos cronicos de 11 a 64 años de edad;Suroriente;14-328;-33.551606;-70.640729
San Ramón;14-328;Centro de Salud Familiar Poetisa Gabriela Mistral;Única;1097;Enfermos cronicos de 11 a 64 años de edad;Suroriente;14-328;-33.551606;-70.640729
Santiago;10-100;Hospital San Juan de Dios (Santiago, Santiago);Única;740;Enfermos cronicos de 11 a 64 años de edad;Central;10-100;-33.442394;-70.679188
Santiago;11-100;Hospital Clínico San Borja Arriarán;Única;1038;Enfermos cronicos de 11 a 64 años de edad;Central;11-100;-33.460498;-70.64232
Santiago;11-267;Centro Médico Vida Integra Alameda;Única;121;Enfermos cronicos de 11 a 64 años de edad;Central;11-267;-33.446412;-70.658798
Santiago;11-284;Centro Médico y Dental Megasalud Alameda;Única;114;Enfermos cronicos de 11 a 64 años de edad;Central;11-284;-33.444915;-70.657657
Santiago;11-291;Centro Médico y Dental Fundación Asistencial Trabajadores Del Banco del Estado de Chile;Única;95;Enfermos cronicos de 11 a 64 años de edad;Central;11-291;-33.442973;-70.655523
Santiago;11-292;Vacunatorio Marcoleta de la Pontificia Universidad Católica de Chile;Única;441;Enfermos cronicos de 11 a 64 años de edad;Central;11-292;-33.442163;-70.640257
Santiago;11-300;Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo;EPRO;1;Enfermos cronicos de 11 a 64 años de edad;Central;11-300;-33.455442;-70.652731
Santiago;11-300;Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo;Única;892;Enfermos cronicos de 11 a 64 años de edad;Central;11-300;-33.455442;-70.652731
Santiago;11-301;Centro de Salud Familiar Nº 5;Única;638;Enfermos cronicos de 11 a 64 años de edad;Central;11-301;-33.45118;-70.673769
Santiago;11-370;Centro de Salud Familiar Padre Orellana;EPRO;1;Enfermos cronicos de 11 a 64 años de edad;Central;11-370;-33.466621;-70.629593
Santiago;11-370;Centro de Salud Familiar Padre Orellana;Única;2641;Enfermos cronicos de 11 a 64 años de edad;Central;11-370;-33.466621;-70.629593
Santiago;11-372;Centro de Salud Familiar Arauco;Única;795;Enfermos cronicos de 11 a 64 años de edad;Central;11-372;-33.46803;-70.670454
Santiago;11-376;Centro de Salud Familiar Matta Sur;EPRO;2;Enfermos cronicos de 11 a 64 años de edad;Central;11-376;-33.461578;-70.655451
Santiago;11-376;Centro de Salud Familiar Matta Sur;Única;1052;Enfermos cronicos de 11 a 64 años de edad;Central;11-376;-33.461578;-70.655451
Santiago;11-381;Centro de Salud Familiar Ignacio Domeyko;Única;2545;Enfermos cronicos de 11 a 64 años de edad;Central;11-381;-33.438921;-70.672467
Talagante;10-130;Hospital Adalberto Steeger (Talagante);Única;1;Enfermos cronicos de 11 a 64 años de edad;Occidente;10-130;-33.66801;-70.920339
Talagante;10-390;Centro de Salud Familiar Dr. Alberto Allende Jones;Única;2359;Enfermos cronicos de 11 a 64 años de edad;Occidente;10-390;-33.669665;-70.937614
Tiltil;09-104;Hospital de Til Til;Única;385;Enfermos cronicos de 11 a 64 años de edad;Norte;09-104;-33.086793;-70.924522
Tiltil;09-320;Centro de Salud Familiar Huertos Familiares;Única;375;Enfermos cronicos de 11 a 64 años de edad;Norte;09-320;-33.135821;-70.799456
Tiltil;09-410;Posta de Salud Rural La Capilla de Caleu;Única;6;Enfermos cronicos de 11 a 64 años de edad;Norte;09-410;-33.002937;-70.995072
Tiltil;09-412;Posta de Salud Rural Montenegro;Única;20;Enfermos cronicos de 11 a 64 años de edad;Norte;09-412;-32.966264;-70.835393
Tiltil;09-413;Posta de Salud Rural Rungue;Única;12;Enfermos cronicos de 11 a 64 años de edad;Norte;09-413;-33.008385;-70.892433
Tiltil;09-414;Posta de Salud Rural Polpaico;Única;86;Enfermos cronicos de 11 a 64 años de edad;Norte;09-414;-33.167398;-70.887052
Vitacura;12-200;Clínica Alemana;Única;575;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-200;-33.391276;-70.572983
Vitacura;12-201;Clínica Tabancura;Única;232;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-201;-33.38216;-70.53534
Vitacura;12-274;Procedimientos Clínicos Alto Tabancura;Única;6;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-274;-33.380903;-70.536344
Vitacura;12-309;Centro de Salud Familiar Vitacura;Única;939;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-309;-33.38985;-70.555009
Vitacura;201092;Vacunatorio Medicien_Vitacura;Única;14;Enfermos cronicos de 11 a 64 años de edad;Oriente;201092;-33.371854;-70.518529
Ñuñoa;12-240;Hospital Carabineros;Única;904;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-240;-33.450658;-70.608463
Ñuñoa;12-310;Centro de Salud Familiar Rosita Renard;Única;160;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-310;-33.469243;-70.602904
Ñuñoa;12-311;Centro de Salud Familiar Salvador Bustos;EPRO;1;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-311;-33.465998;-70.587774
Ñuñoa;12-311;Centro de Salud Familiar Salvador Bustos;Única;2841;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-311;-33.465998;-70.587774
Ñuñoa;12-942;Vacunatorio Varik;Única;46;Enfermos cronicos de 11 a 64 años de edad;Oriente;12-942;-33.45454;-70.606179
Ñuñoa;201093;Vacunatorio Medicien_Ñuñoa;Única;100;Enfermos cronicos de 11 a 64 años de edad;Oriente;201093;-33.455441;-70.595222
Alhué;10-393;Centro de Salud Familiar Villa Alhué;Única;68;Escolares de 1° a 5° año básico;Occidente;10-393;-34.032484;-71.100076
Buin;13-320;Centro de Salud Familiar Maipo;1° dosis;4;Escolares de 1° a 5° año básico;Sur;13-320;-33.734885;-70.784598
Buin;13-320;Centro de Salud Familiar Maipo;Única;987;Escolares de 1° a 5° año básico;Sur;13-320;-33.734885;-70.784598
Buin;13-333;Centro de Salud Familiar Alto Jahuel;1° dosis;5;Escolares de 1° a 5° año básico;Sur;13-333;-33.735249;-70.684161
Buin;13-333;Centro de Salud Familiar Alto Jahuel;Única;42;Escolares de 1° a 5° año básico;Sur;13-333;-33.735249;-70.684161
Buin;13-390;Centro de Salud Familiar Dr. Héctor García;1° dosis;33;Escolares de 1° a 5° año básico;Sur;13-390;-33.737754;-70.741333
Buin;13-390;Centro de Salud Familiar Dr. Héctor García;2° dosis;1;Escolares de 1° a 5° año básico;Sur;13-390;-33.737754;-70.741333
Buin;13-390;Centro de Salud Familiar Dr. Héctor García;Única;678;Escolares de 1° a 5° año básico;Sur;13-390;-33.737754;-70.741333
Buin;13-402;Centro Comunitario de Salud Familiar Dr. Ramón Galindo;Única;45;Escolares de 1° a 5° año básico;Sur;13-402;-33.75109;-70.735556
Buin;13-404;Posta de Salud Rural Valdivia de Paine;Única;13;Escolares de 1° a 5° año básico;Sur;13-404;-33.811928;-70.86063
Buin;13-405;Posta de Salud Rural Viluco;1° dosis;2;Escolares de 1° a 5° año básico;Sur;13-405;-33.782229;-70.791771
Buin;13-405;Posta de Salud Rural Viluco;Única;10;Escolares de 1° a 5° año básico;Sur;13-405;-33.782229;-70.791771
Buin;13-406;Posta de Salud Rural El Recurso;Única;2;Escolares de 1° a 5° año básico;Sur;13-406;-33.690787;-70.701729
Buin;13-407;Posta de Salud Rural Los Morros;Única;27;Escolares de 1° a 5° año básico;Sur;13-407;-33.67046;-70.665548
Buin;13-790;Centro Comunitario de Salud Familiar Dr. Héctor García;1° dosis;2;Escolares de 1° a 5° año básico;Sur;13-790;-33.711787;-70.739533
Buin;13-790;Centro Comunitario de Salud Familiar Dr. Héctor García;Única;31;Escolares de 1° a 5° año básico;Sur;13-790;-33.711787;-70.739533
Buin;201098;Centro Medico KINEROD;Única;20;Escolares de 1° a 5° año básico;Sur;201098;-33.73418;-70.744272
Buin;201162;KUME FELEN SPA;1° dosis;1;Escolares de 1° a 5° año básico;Sur;201162;-33.730461;-70.741187
Buin;201162;KUME FELEN SPA;Única;37;Escolares de 1° a 5° año básico;Sur;201162;-33.730461;-70.741187
Calera de Tango;13-321;Centro de Salud Familiar Calera de Tango;Única;870;Escolares de 1° a 5° año básico;Sur;13-321;-33.636009;-70.811012
Calera de Tango;13-334;Centro de Salud Familiar Los Bajos de San Agustín;1° dosis;3;Escolares de 1° a 5° año básico;Sur;13-334;-33.625946;-70.782415
Calera de Tango;13-334;Centro de Salud Familiar Los Bajos de San Agustín;Única;29;Escolares de 1° a 5° año básico;Sur;13-334;-33.625946;-70.782415
Cerrillos;11-305;Centro de Salud Familiar Dr. Norman Voulliéme;1° dosis;54;Escolares de 1° a 5° año básico;Central;11-305;-33.49331;-70.719201
Cerrillos;11-305;Centro de Salud Familiar Dr. Norman Voulliéme;Única;1149;Escolares de 1° a 5° año básico;Central;11-305;-33.49331;-70.719201
Cerrillos;11-307;Centro de Salud Familiar Enfermera Sofía Pincheira;1° dosis;25;Escolares de 1° a 5° año básico;Central;11-307;-33.501479;-70.733545
Cerrillos;11-307;Centro de Salud Familiar Enfermera Sofía Pincheira;Única;263;Escolares de 1° a 5° año básico;Central;11-307;-33.501479;-70.733545
Cerro Navia;10-330;Centro de Salud Familiar Dr. Adalberto Steeger;1° dosis;10;Escolares de 1° a 5° año básico;Occidente;10-330;-33.417518;-70.741198
Cerro Navia;10-330;Centro de Salud Familiar Dr. Adalberto Steeger;2° dosis;1;Escolares de 1° a 5° año básico;Occidente;10-330;-33.417518;-70.741198
Cerro Navia;10-330;Centro de Salud Familiar Dr. Adalberto Steeger;Única;132;Escolares de 1° a 5° año básico;Occidente;10-330;-33.417518;-70.741198
Cerro Navia;10-331;Centro de Salud Familiar Lo Amor;1° dosis;2;Escolares de 1° a 5° año básico;Occidente;10-331;-33.417581;-70.717399
Cerro Navia;10-331;Centro de Salud Familiar Lo Amor;Única;81;Escolares de 1° a 5° año básico;Occidente;10-331;-33.417581;-70.717399
Cerro Navia;10-335;Centro de Salud Familiar Cerro Navia;1° dosis;53;Escolares de 1° a 5° año básico;Occidente;10-335;-33.419555;-70.750834
Cerro Navia;10-335;Centro de Salud Familiar Cerro Navia;Única;1061;Escolares de 1° a 5° año básico;Occidente;10-335;-33.419555;-70.750834
Cerro Navia;10-355;Centro de Salud Familiar Dr. Arturo Albertz;1° dosis;129;Escolares de 1° a 5° año básico;Occidente;10-355;-33.433502;-70.731655
Cerro Navia;10-355;Centro de Salud Familiar Dr. Arturo Albertz;Única;688;Escolares de 1° a 5° año básico;Occidente;10-355;-33.433502;-70.731655
Colina;09-310;Centro de Salud Familiar Colina;1° dosis;100;Escolares de 1° a 5° año básico;Norte;09-310;-33.205979;-70.670553
Colina;09-310;Centro de Salud Familiar Colina;EPRO;1;Escolares de 1° a 5° año básico;Norte;09-310;-33.205979;-70.670553
Colina;09-310;Centro de Salud Familiar Colina;Única;1029;Escolares de 1° a 5° año básico;Norte;09-310;-33.205979;-70.670553
Colina;09-316;Centro de Salud Familiar Esmeralda;1° dosis;1;Escolares de 1° a 5° año básico;Norte;09-316;-33.184133;-70.653657
Colina;09-316;Centro de Salud Familiar Esmeralda;Única;54;Escolares de 1° a 5° año básico;Norte;09-316;-33.184133;-70.653657
Colina;09-417;Posta de Salud Rural Los Ingleses;1° dosis;1;Escolares de 1° a 5° año básico;Norte;09-417;-33.267323;-70.678694
Colina;09-417;Posta de Salud Rural Los Ingleses;Única;3;Escolares de 1° a 5° año básico;Norte;09-417;-33.267323;-70.678694
Colina;09-418;Posta de Salud Rural Las Canteras;Única;1;Escolares de 1° a 5° año básico;Norte;09-418;-33.3043;-70.689015
Colina;09-419;Posta de Salud Rural Santa Marta de Liray;Única;5;Escolares de 1° a 5° año básico;Norte;09-419;-33.240239;-70.736763
Colina;09-420;Posta de Salud Rural Chacabuco (Colina);Única;2;Escolares de 1° a 5° año básico;Norte;09-420;-33.043488;-70.693602
Colina;09-716;Centro Comunitario de Salud Familiar Esmeralda;Única;7;Escolares de 1° a 5° año básico;Norte;09-716;-33.183727;-70.663439
Colina;09-905;Centro Médico Clínica Alemana de Chicureo;1° dosis;6;Escolares de 1° a 5° año básico;Norte;09-905;-33.286284;-70.651801
Colina;09-905;Centro Médico Clínica Alemana de Chicureo;Única;216;Escolares de 1° a 5° año básico;Norte;09-905;-33.286284;-70.651801
Colina;09-927;Centro Médico Clinica Las Condes de Chicureo (Servicios de Salud Integrados S.A.);1° dosis;3;Escolares de 1° a 5° año básico;Norte;09-927;-33.283002;-70.651101
Colina;09-927;Centro Médico Clinica Las Condes de Chicureo (Servicios de Salud Integrados S.A.);Única;185;Escolares de 1° a 5° año básico;Norte;09-927;-33.283002;-70.651101
