Servicio;Comuna;Criterio_elegibilidad;N° de vacunados;Población objetivo;Avance vacunación;Desagregación;CODIGO_DEIS;Establecimiento;Dosis
Occidente;Pudahuel;Enfermos cronicos de 11 a 64 años de edad;2776;;;Establecimientos de salud;10-354;Centro de Salud Familiar Violeta Parra;Única
Occidente;Quinta Normal;Enfermos cronicos de 11 a 64 años de edad;339;;;Establecimientos de salud;10-120;Hospital Dr. Félix Bulnes Cerda (Santiago, Quinta Normal);Única
Occidente;Quinta Normal;Enfermos cronicos de 11 a 64 años de edad;535;;;Establecimientos de salud;10-310;Centro de Salud Familiar Andes;Única
Occidente;Quinta Normal;Enfermos cronicos de 11 a 64 años de edad;757;;;Establecimientos de salud;10-320;Centro de Salud Familiar Lo Franco;Única
Occidente;Quinta Normal;Enfermos cronicos de 11 a 64 años de edad;621;;;Establecimientos de salud;10-325;Centro de Salud Familiar Garín;Única
Occidente;Renca;Enfermos cronicos de 11 a 64 años de edad;702;;;Establecimientos de salud;10-360;Centro de Salud Familiar Renca;Única
Occidente;Renca;Enfermos cronicos de 11 a 64 años de edad;571;;;Establecimientos de salud;10-361;Centro de Salud Familiar Bicentenario;Única
Occidente;Renca;Enfermos cronicos de 11 a 64 años de edad;365;;;Establecimientos de salud;10-362;Centro de Salud Familiar Dr. Hernán Urzúa Merino;Única
Occidente;Renca;Enfermos cronicos de 11 a 64 años de edad;482;;;Establecimientos de salud;10-364;Centro de Salud Familiar Huamachuco;Única
Occidente;San Pedro;Enfermos cronicos de 11 a 64 años de edad;210;;;Establecimientos de salud;10-387;Centro de Salud Familiar San Pedro;Única
Occidente;Santiago;Enfermos cronicos de 11 a 64 años de edad;396;;;Establecimientos de salud;10-100;Hospital San Juan de Dios (Santiago, Santiago);Única
Occidente;Talagante;Enfermos cronicos de 11 a 64 años de edad;1;;;Establecimientos de salud;10-130;Hospital Adalberto Steeger (Talagante);Única
Occidente;Talagante;Enfermos cronicos de 11 a 64 años de edad;1358;;;Establecimientos de salud;10-390;Centro de Salud Familiar Dr. Alberto Allende Jones;Única
Oriente;La Reina;Enfermos cronicos de 11 a 64 años de edad;1028;;;Establecimientos de salud;12-317;Centro de Salud Familiar Ossandon;Única
Oriente;La Reina;Enfermos cronicos de 11 a 64 años de edad;38;;;Establecimientos de salud;12-320;Centro de Salud Familiar Juan Pablo II ( La Reina);Única
Oriente;Las Condes;Enfermos cronicos de 11 a 64 años de edad;2830;;;Establecimientos de salud;12-304;Centro de Salud Familiar Apoquindo;Única
Oriente;Las Condes;Enfermos cronicos de 11 a 64 años de edad;358;;;Establecimientos de salud;12-306;Centro de Salud Familiar Aníbal Ariztía;Única
Oriente;Lo Barnechea;Enfermos cronicos de 11 a 64 años de edad;788;;;Establecimientos de salud;12-307;Centro de Salud Familiar Lo Barnechea;Única
Oriente;Macul;Enfermos cronicos de 11 a 64 años de edad;529;;;Establecimientos de salud;12-312;Centro de Salud Familiar Félix de Amesti;Única
Oriente;Macul;Enfermos cronicos de 11 a 64 años de edad;544;;;Establecimientos de salud;12-313;Centro de Salud Familiar Santa Julia;Única
Oriente;Macul;Enfermos cronicos de 11 a 64 años de edad;283;;;Establecimientos de salud;12-319;Centro de Salud Familiar Padre Alberto Hurtado;Única
Oriente;Peñalolén;Enfermos cronicos de 11 a 64 años de edad;7;;;Establecimientos de salud;12-101;Hospital Dr. Luis Tisné B. (Santiago, Peñalolén);Única
Oriente;Peñalolén;Enfermos cronicos de 11 a 64 años de edad;12;;;Establecimientos de salud;12-105;Instituto Nacional de Rehabilitación Infantil Presidente Pedro Aguirre Cerda;Única
Oriente;Peñalolén;Enfermos cronicos de 11 a 64 años de edad;498;;;Establecimientos de salud;12-314;Centro de Salud Familiar La Faena;Única
Oriente;Peñalolén;Enfermos cronicos de 11 a 64 años de edad;492;;;Establecimientos de salud;12-315;Centro de Salud Familiar San Luis;Única
Oriente;Peñalolén;Enfermos cronicos de 11 a 64 años de edad;963;;;Establecimientos de salud;12-316;Centro de Salud Familiar Carol Urzúa Ibáñez;Única
Oriente;Peñalolén;Enfermos cronicos de 11 a 64 años de edad;433;;;Establecimientos de salud;12-318;Centro de Salud Familiar Lo Hermida;Única
Oriente;Peñalolén;Enfermos cronicos de 11 a 64 años de edad;324;;;Establecimientos de salud;12-321;Centro de Salud Familiar Cardenal Silva Henríquez;Única
Oriente;Peñalolén;Enfermos cronicos de 11 a 64 años de edad;424;;;Establecimientos de salud;12-322;Centro de Salud Familiar Padre Gerardo Whelan;Única
Oriente;Peñalolén;Enfermos cronicos de 11 a 64 años de edad;515;;;Establecimientos de salud;201112;CESFAM Las Torres;Única
Oriente;Providencia;Enfermos cronicos de 11 a 64 años de edad;1;;;Establecimientos de salud;12-100;Hospital Del Salvador de Santiago;Única
Oriente;Providencia;Enfermos cronicos de 11 a 64 años de edad;4;;;Establecimientos de salud;12-104;Instituto de Neurocirugía Dr. Alfonso Asenjo;Única
Oriente;Providencia;Enfermos cronicos de 11 a 64 años de edad;438;;;Establecimientos de salud;12-301;Centro de Salud Familiar Dr. Hernán Alessandri;Única
Oriente;Providencia;Enfermos cronicos de 11 a 64 años de edad;837;;;Establecimientos de salud;12-302;Centro de Salud Familiar Dr. Alfonso Leng;Única
Oriente;Providencia;Enfermos cronicos de 11 a 64 años de edad;700;;;Establecimientos de salud;12-303;Centro de Salud Familiar Aguilucho;Única
Oriente;Vitacura;Enfermos cronicos de 11 a 64 años de edad;503;;;Establecimientos de salud;12-309;Centro de Salud Familiar Vitacura;Única
Oriente;Ñuñoa;Enfermos cronicos de 11 a 64 años de edad;62;;;Establecimientos de salud;12-310;Centro de Salud Familiar Rosita Renard;Única
Oriente;Ñuñoa;Enfermos cronicos de 11 a 64 años de edad;1443;;;Establecimientos de salud;12-311;Centro de Salud Familiar Salvador Bustos;Única
Sur;Buin;Enfermos cronicos de 11 a 64 años de edad;316;;;Establecimientos de salud;13-320;Centro de Salud Familiar Maipo;Única
Sur;Buin;Enfermos cronicos de 11 a 64 años de edad;254;;;Establecimientos de salud;13-333;Centro de Salud Familiar Alto Jahuel;Única
Sur;Buin;Enfermos cronicos de 11 a 64 años de edad;946;;;Establecimientos de salud;13-390;Centro de Salud Familiar Dr. Héctor García;Única
Sur;Buin;Enfermos cronicos de 11 a 64 años de edad;154;;;Establecimientos de salud;13-402;Centro Comunitario de Salud Familiar Dr. Ramón Galindo;Única
Sur;Buin;Enfermos cronicos de 11 a 64 años de edad;47;;;Establecimientos de salud;13-404;Posta de Salud Rural Valdivia de Paine;Única
Sur;Buin;Enfermos cronicos de 11 a 64 años de edad;65;;;Establecimientos de salud;13-405;Posta de Salud Rural Viluco;Única
Sur;Buin;Enfermos cronicos de 11 a 64 años de edad;40;;;Establecimientos de salud;13-406;Posta de Salud Rural El Recurso;Única
Sur;Buin;Enfermos cronicos de 11 a 64 años de edad;163;;;Establecimientos de salud;13-407;Posta de Salud Rural Los Morros;Única
Sur;Buin;Enfermos cronicos de 11 a 64 años de edad;139;;;Establecimientos de salud;13-790;Centro Comunitario de Salud Familiar Dr. Héctor García;Única
Sur;Calera de Tango;Enfermos cronicos de 11 a 64 años de edad;188;;;Establecimientos de salud;13-321;Centro de Salud Familiar Calera de Tango;Única
Sur;Calera de Tango;Enfermos cronicos de 11 a 64 años de edad;255;;;Establecimientos de salud;13-334;Centro de Salud Familiar Los Bajos de San Agustín;Única
Sur;El Bosque;Enfermos cronicos de 11 a 64 años de edad;802;;;Establecimientos de salud;13-312;Centro de Salud Familiar Dr. Carlos Lorca Tobar;Única
Sur;El Bosque;Enfermos cronicos de 11 a 64 años de edad;1292;;;Establecimientos de salud;13-314;Centro de Salud Familiar Cóndores de Chile;Única
Sur;El Bosque;Enfermos cronicos de 11 a 64 años de edad;684;;;Establecimientos de salud;13-317;Centro de Salud Familiar Santa Laura;Única
Sur;El Bosque;Enfermos cronicos de 11 a 64 años de edad;735;;;Establecimientos de salud;13-323;Centro de Salud Familiar Dr. Mario Salcedo;Única
Sur;El Bosque;Enfermos cronicos de 11 a 64 años de edad;857;;;Establecimientos de salud;13-324;Centro de Salud Familiar Dra. Haydeé López Casoou;Única
Sur;El Bosque;Enfermos cronicos de 11 a 64 años de edad;710;;;Establecimientos de salud;13-329;Centro de Salud Familiar Canciller Orlando Letelier;Única
Sur;La Cisterna;Enfermos cronicos de 11 a 64 años de edad;731;;;Establecimientos de salud;13-311;Centro de Salud Familiar Santa Anselma;Única
Sur;La Cisterna;Enfermos cronicos de 11 a 64 años de edad;798;;;Establecimientos de salud;13-326;Centro de Salud Familiar Eduardo Frei Montalva;Única
Sur;La Granja;Enfermos cronicos de 11 a 64 años de edad;734;;;Establecimientos de salud;13-307;Centro de Salud Familiar Padre Esteban Gumucio Vives;Única
Sur;Lo Espejo;Enfermos cronicos de 11 a 64 años de edad;475;;;Establecimientos de salud;13-308;Centro de Salud Familiar Clara Estrella;Única
Sur;Lo Espejo;Enfermos cronicos de 11 a 64 años de edad;347;;;Establecimientos de salud;13-309;Centro de Salud Familiar Julio Acuña Pinzón;Única
Sur;Lo Espejo;Enfermos cronicos de 11 a 64 años de edad;418;;;Establecimientos de salud;13-310;Centro de Salud Familiar Dra. Mariela Salgado Zepeda;Única
Sur;Lo Espejo;Enfermos cronicos de 11 a 64 años de edad;358;;;Establecimientos de salud;13-396;Centro de Salud Familiar Pueblo Lo Espejo;Única
Sur;Paine;Enfermos cronicos de 11 a 64 años de edad;831;;;Establecimientos de salud;13-318;Centro de Salud Familiar Dr. Miguel Ángel Solar (ex CESFAM Paine);Única
Sur;Paine;Enfermos cronicos de 11 a 64 años de edad;524;;;Establecimientos de salud;13-319;Centro de Salud Familiar Dr. Raúl Moya;Única
Sur;Paine;Enfermos cronicos de 11 a 64 años de edad;143;;;Establecimientos de salud;13-408;Posta de Salud Rural Pintué;Única
Sur;Paine;Enfermos cronicos de 11 a 64 años de edad;188;;;Establecimientos de salud;13-409;Posta de Salud Rural Huelquén;Única
Sur;Paine;Enfermos cronicos de 11 a 64 años de edad;18;;;Establecimientos de salud;13-410;Posta de Salud Rural Rangue;Única
Sur;Paine;Enfermos cronicos de 11 a 64 años de edad;59;;;Establecimientos de salud;13-411;Posta de Salud Rural Abrantes;Única
Sur;Paine;Enfermos cronicos de 11 a 64 años de edad;22;;;Establecimientos de salud;13-412;Posta de Salud Rural Chada;Única
Sur;Pedro Aguirre Cerda;Enfermos cronicos de 11 a 64 años de edad;381;;;Establecimientos de salud;11-303;Centro de Salud Familiar Lo Valledor Norte;Única
Sur;Pedro Aguirre Cerda;Enfermos cronicos de 11 a 64 años de edad;344;;;Establecimientos de salud;13-303;Centro de Salud Familiar Amador Neghme;Única
Sur;Pedro Aguirre Cerda;Enfermos cronicos de 11 a 64 años de edad;1016;;;Establecimientos de salud;13-306;Centro de Salud Familiar Padre Pierre Dubois (Ex La Feria);Única
Sur;Pedro Aguirre Cerda;Enfermos cronicos de 11 a 64 años de edad;344;;;Establecimientos de salud;13-331;Centro de Salud Familiar Edgardo Enríquez Fröedden;Única
Sur;San Bernardo;Enfermos cronicos de 11 a 64 años de edad;469;;;Establecimientos de salud;13-313;Centro de Salud Familiar Raúl Cuevas (Ex-San Bernardo);Única
Sur;San Bernardo;Enfermos cronicos de 11 a 64 años de edad;447;;;Establecimientos de salud;13-315;Centro de Salud Familiar Confraternidad;Única
Sur;San Bernardo;Enfermos cronicos de 11 a 64 años de edad;447;;;Establecimientos de salud;13-316;Centro de Salud Familiar Carol Urzúa;Única
Sur;San Bernardo;Enfermos cronicos de 11 a 64 años de edad;373;;;Establecimientos de salud;13-328;Centro de Salud Familiar Padre Joan Alsina;Única
Sur;San Bernardo;Enfermos cronicos de 11 a 64 años de edad;623;;;Establecimientos de salud;13-330;Centro de Salud Familiar Raúl Brañes F.;Única
Sur;San Bernardo;Enfermos cronicos de 11 a 64 años de edad;454;;;Establecimientos de salud;13-332;Centro de Salud Familiar Juan Pablo II ( San Bernardo);Única
Sur;San Bernardo;Enfermos cronicos de 11 a 64 años de edad;380;;;Establecimientos de salud;13-394;Centro de Salud Familiar El Manzano;Única
Sur;San Bernardo;Enfermos cronicos de 11 a 64 años de edad;6;;;Establecimientos de salud;13-716;Centro Comunitario de Salud Familiar Rapa Nui;Única
Sur;San Joaquín;Enfermos cronicos de 11 a 64 años de edad;1034;;;Establecimientos de salud;13-301;Centro de Salud Familiar San Joaquín;Única
Sur;San Joaquín;Enfermos cronicos de 11 a 64 años de edad;370;;;Establecimientos de salud;13-305;Centro de Salud Familiar Arturo Baeza Goñi;Única
Sur;San Joaquín;Enfermos cronicos de 11 a 64 años de edad;640;;;Establecimientos de salud;13-322;Centro de Salud Familiar Santa Teresa de Los Andes;Única
Sur;San Miguel;Enfermos cronicos de 11 a 64 años de edad;5;;;Establecimientos de salud;13-100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Única
Sur;San Miguel;Enfermos cronicos de 11 a 64 años de edad;35;;;Establecimientos de salud;13-130;Hospital Dr. Exequiel González Cortés (Santiago, San Miguel);Única
Sur;San Miguel;Enfermos cronicos de 11 a 64 años de edad;2;;;Establecimientos de salud;13-160;Hospital de Enfermedades Infecciosas Dr. Lucio Córdova (Santiago, San Miguel);Única
Sur;San Miguel;Enfermos cronicos de 11 a 64 años de edad;1030;;;Establecimientos de salud;13-300;Centro de Salud Familiar Barros Luco;Única
Sur;San Miguel;Enfermos cronicos de 11 a 64 años de edad;1220;;;Establecimientos de salud;13-302;Centro de Salud Familiar Recreo;Única
Suroriente;La Florida;Enfermos cronicos de 11 a 64 años de edad;1;;;Establecimientos de salud;14-105;Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza;Única
Suroriente;La Florida;Enfermos cronicos de 11 a 64 años de edad;83;;;Establecimientos de salud;14-302;Centro de Salud Familiar Los Castaños;Única
Suroriente;La Florida;Enfermos cronicos de 11 a 64 años de edad;39;;;Establecimientos de salud;14-303;Centro de Salud Familiar Bellavista;Única
Suroriente;La Florida;Enfermos cronicos de 11 a 64 años de edad;605;;;Establecimientos de salud;14-304;Centro de Salud Familiar Villa O'Higgins;Única
Suroriente;La Florida;Enfermos cronicos de 11 a 64 años de edad;841;;;Establecimientos de salud;14-305;Centro de Salud Familiar Los Quillayes;Única
Suroriente;La Florida;Enfermos cronicos de 11 a 64 años de edad;26;;;Establecimientos de salud;14-316;Centro de Salud Familiar Dr. Fernando Maffioletti;Única
Suroriente;La Florida;Enfermos cronicos de 11 a 64 años de edad;144;;;Establecimientos de salud;14-324;Centro de Salud Familiar Santa Amalia;Única
Suroriente;La Florida;Enfermos cronicos de 11 a 64 años de edad;180;;;Establecimientos de salud;14-330;Centro de Salud Familiar Trinidad;Única
Suroriente;La Florida;Enfermos cronicos de 11 a 64 años de edad;1765;;;Establecimientos de salud;14-331;Centro de Salud Familiar La Florida;Única
Suroriente;La Florida;Enfermos cronicos de 11 a 64 años de edad;207;;;Establecimientos de salud;14-334;Centro de Salud Familiar José Alvo;Única
Suroriente;La Granja;Enfermos cronicos de 11 a 64 años de edad;830;;;Establecimientos de salud;14-306;Centro de Salud Familiar La Granja;Única
Suroriente;La Granja;Enfermos cronicos de 11 a 64 años de edad;438;;;Establecimientos de salud;14-315;Centro de Salud Familiar Malaquías Concha;Única
Suroriente;La Granja;Enfermos cronicos de 11 a 64 años de edad;1404;;;Establecimientos de salud;14-325;Centro de Salud Familiar Granja Sur;Única
Suroriente;La Pintana;Enfermos cronicos de 11 a 64 años de edad;442;;;Establecimientos de salud;14-308;Centro de Salud Familiar San Rafael;Única
Suroriente;La Pintana;Enfermos cronicos de 11 a 64 años de edad;284;;;Establecimientos de salud;14-309;Centro de Salud Familiar Pablo de Rokha;Única
Suroriente;La Pintana;Enfermos cronicos de 11 a 64 años de edad;485;;;Establecimientos de salud;14-311;Centro de Salud Familiar Santiago de Nueva Extremadura;Única
Suroriente;La Pintana;Enfermos cronicos de 11 a 64 años de edad;449;;;Establecimientos de salud;14-317;Centro de Salud Familiar Santo Tomás;Única
Suroriente;La Pintana;Enfermos cronicos de 11 a 64 años de edad;177;;;Establecimientos de salud;14-318;Centro de Salud Familiar Flor Fernández;Única
Suroriente;La Pintana;Enfermos cronicos de 11 a 64 años de edad;411;;;Establecimientos de salud;14-319;Centro de Salud Familiar El Roble;Única
Suroriente;La Pintana;Enfermos cronicos de 11 a 64 años de edad;201;;;Establecimientos de salud;14-327;Centro de Salud Familiar Juan Pablo II Red de Salud UC CHRISTUS;Única
Suroriente;Pirque;Enfermos cronicos de 11 a 64 años de edad;287;;;Establecimientos de salud;14-310;Centro de Salud Familiar Dr. José Manuel Balmaceda;Única
Suroriente;Pirque;Enfermos cronicos de 11 a 64 años de edad;281;;;Establecimientos de salud;14-333;Centro de Salud Rural El Principal;Única
Suroriente;Puente Alto;Enfermos cronicos de 11 a 64 años de edad;1;;;Establecimientos de salud;14-101;Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto);Única
Suroriente;Puente Alto;Enfermos cronicos de 11 a 64 años de edad;1076;;;Establecimientos de salud;14-301;Centro de Salud Familiar Dr. Alejandro del Río;Única
Suroriente;Puente Alto;Enfermos cronicos de 11 a 64 años de edad;728;;;Establecimientos de salud;14-312;Centro de Salud Familiar San Gerónimo;Única
Suroriente;Puente Alto;Enfermos cronicos de 11 a 64 años de edad;504;;;Establecimientos de salud;14-313;Centro de Salud Familiar Vista Hermosa;Única
Suroriente;Puente Alto;Enfermos cronicos de 11 a 64 años de edad;678;;;Establecimientos de salud;14-320;Centro de Salud Familiar Bernardo Leighton;Única
Suroriente;Puente Alto;Enfermos cronicos de 11 a 64 años de edad;528;;;Establecimientos de salud;14-321;Centro de Salud Familiar Cardenal Silva Henríquez;Única
Suroriente;Puente Alto;Enfermos cronicos de 11 a 64 años de edad;873;;;Establecimientos de salud;14-322;Centro de Salud Familiar Padre Manuel Villaseca;Única
Suroriente;Puente Alto;Enfermos cronicos de 11 a 64 años de edad;249;;;Establecimientos de salud;14-323;Centro de Salud Familiar Madre Teresa de Calcuta Red de Salud UC CHRISTUS;Única
Suroriente;Puente Alto;Enfermos cronicos de 11 a 64 años de edad;353;;;Establecimientos de salud;14-326;Centro de Salud Familiar Karol Wojtyla;Única
Suroriente;Puente Alto;Enfermos cronicos de 11 a 64 años de edad;261;;;Establecimientos de salud;14-329;Centro de Salud Familiar San Alberto Hurtado Red de Salud UC CHRISTUS;Única
Suroriente;Puente Alto;Enfermos cronicos de 11 a 64 años de edad;3254;;;Establecimientos de salud;14-332;Centro de Salud Familiar Laurita Vicuña;Única
Suroriente;San José de Maipo;Enfermos cronicos de 11 a 64 años de edad;197;;;Establecimientos de salud;14-102;Hospital San José de Maipo;Única
Suroriente;San José de Maipo;Enfermos cronicos de 11 a 64 años de edad;155;;;Establecimientos de salud;14-407;Posta de Salud Rural Las Vertientes;Única
Suroriente;San Ramón;Enfermos cronicos de 11 a 64 años de edad;1;;;Establecimientos de salud;14-103;Hospital Padre Alberto Hurtado (San Ramón);Única
Suroriente;San Ramón;Enfermos cronicos de 11 a 64 años de edad;393;;;Establecimientos de salud;14-307;Centro de Salud Familiar La Bandera;Única
Suroriente;San Ramón;Enfermos cronicos de 11 a 64 años de edad;756;;;Establecimientos de salud;14-314;Centro de Salud Familiar Dr. Salvador Allende (Ex Consultorio San Ramón);Única
Suroriente;San Ramón;Enfermos cronicos de 11 a 64 años de edad;560;;;Establecimientos de salud;14-328;Centro de Salud Familiar Poetisa Gabriela Mistral;Única
SEREMI Metropolitana de Santiago;Buin;Enfermos cronicos de 11 a 64 años de edad;20;;;Establecimientos de salud;201098;Centro Medico KINEROD;Única
SEREMI Metropolitana de Santiago;Buin;Enfermos cronicos de 11 a 64 años de edad;32;;;Establecimientos de salud;201162;KUME FELEN SPA;Única
SEREMI Metropolitana de Santiago;Colina;Enfermos cronicos de 11 a 64 años de edad;70;;;Establecimientos de salud;09-905;Centro Médico Clínica Alemana de Chicureo;Única
SEREMI Metropolitana de Santiago;Colina;Enfermos cronicos de 11 a 64 años de edad;50;;;Establecimientos de salud;09-927;Centro Médico Clinica Las Condes de Chicureo (Servicios de Salud Integrados S.A.);Única
SEREMI Metropolitana de Santiago;Colina;Enfermos cronicos de 11 a 64 años de edad;2;;;Establecimientos de salud;201087;VACUNATORIO CHICUREO SpA;Única
SEREMI Metropolitana de Santiago;Estación Central;Enfermos cronicos de 11 a 64 años de edad;22;;;Establecimientos de salud;11-202;Hospital Clínico Mutual de Seguridad C.CH.C.;Única
SEREMI Metropolitana de Santiago;Estación Central;Enfermos cronicos de 11 a 64 años de edad;121;;;Establecimientos de salud;11-230;Clínica Hospital del Profesor;Única
SEREMI Metropolitana de Santiago;Estación Central;Enfermos cronicos de 11 a 64 años de edad;43;;;Establecimientos de salud;11-295;Red Salud Santiago ex Clínica Bicentenario;Única
SEREMI Metropolitana de Santiago;Independencia;Enfermos cronicos de 11 a 64 años de edad;120;;;Establecimientos de salud;09-200;Hospital Clínico Universidad de Chile;Única
SEREMI Metropolitana de Santiago;La Florida;Enfermos cronicos de 11 a 64 años de edad;89;;;Establecimientos de salud;14-223;Clínica Vespucio;Única
SEREMI Metropolitana de Santiago;La Florida;Enfermos cronicos de 11 a 64 años de edad;31;;;Establecimientos de salud;14-908;Clínica Bupa Santiago;Única
SEREMI Metropolitana de Santiago;La Reina;Enfermos cronicos de 11 a 64 años de edad;431;;;Establecimientos de salud;12-530;Hospital Militar de Santiago;Única
SEREMI Metropolitana de Santiago;La Reina;Enfermos cronicos de 11 a 64 años de edad;84;;;Establecimientos de salud;12-924;Vacunatorio Darvax;Única
SEREMI Metropolitana de Santiago;Las Condes;Enfermos cronicos de 11 a 64 años de edad;11;;;Establecimientos de salud;12-204;Nueva Clínica Cordillera;Única
SEREMI Metropolitana de Santiago;Las Condes;Enfermos cronicos de 11 a 64 años de edad;130;;;Establecimientos de salud;12-212;Clínica Las Condes;Única
SEREMI Metropolitana de Santiago;Las Condes;Enfermos cronicos de 11 a 64 años de edad;359;;;Establecimientos de salud;12-238;Hospital FACH;Única
SEREMI Metropolitana de Santiago;Las Condes;Enfermos cronicos de 11 a 64 años de edad;29;;;Establecimientos de salud;12-261;Clínica San Carlos de Apoquindo Red de Salud UC CHRISTUS;Única
SEREMI Metropolitana de Santiago;Las Condes;Enfermos cronicos de 11 a 64 años de edad;48;;;Establecimientos de salud;12-272;Centro Médico Militar Rosa O'Higgins;Única
SEREMI Metropolitana de Santiago;Las Condes;Enfermos cronicos de 11 a 64 años de edad;166;;;Establecimientos de salud;12-950;Hospital Clínico Universidad de Los Andes;Única
SEREMI Metropolitana de Santiago;Las Condes;Enfermos cronicos de 11 a 64 años de edad;9;;;Establecimientos de salud;201094;Vacunatorio Medicien Alto El Plomo;Única
SEREMI Metropolitana de Santiago;Las Condes;Enfermos cronicos de 11 a 64 años de edad;25;;;Establecimientos de salud;201157;Centro Médico y Dental Arauco Salud;Única
SEREMI Metropolitana de Santiago;Lo Barnechea;Enfermos cronicos de 11 a 64 años de edad;71;;;Establecimientos de salud;12-522;Centro Médico Clínica Santa María La Dehesa;Única
SEREMI Metropolitana de Santiago;Lo Barnechea;Enfermos cronicos de 11 a 64 años de edad;102;;;Establecimientos de salud;12-527;Centro Médico Clínica Alemana (La Dehesa);Única
SEREMI Metropolitana de Santiago;Lo Barnechea;Enfermos cronicos de 11 a 64 años de edad;18;;;Establecimientos de salud;12-906;Clínica MEDS La Dehesa;Única
SEREMI Metropolitana de Santiago;Macul;Enfermos cronicos de 11 a 64 años de edad;196;;;Establecimientos de salud;12-512;Centro Médico San Joaquín Red de Salud UC CHRISTUS;Única
SEREMI Metropolitana de Santiago;Maipú;Enfermos cronicos de 11 a 64 años de edad;3;;;Establecimientos de salud;201290;Vacunatorio INMUVAX;Única
SEREMI Metropolitana de Santiago;Melipilla;Enfermos cronicos de 11 a 64 años de edad;55;;;Establecimientos de salud;10-270;Clínica Los Maitenes;Única
SEREMI Metropolitana de Santiago;Peñalolén;Enfermos cronicos de 11 a 64 años de edad;55;;;Establecimientos de salud;12-275;Centro Médico Alto Tobalaba - Vacunatorio Vacci Protex;Única
SEREMI Metropolitana de Santiago;Peñalolén;Enfermos cronicos de 11 a 64 años de edad;100;;;Establecimientos de salud;12-930;Clínica Las Condes Peñalolén;Única
SEREMI Metropolitana de Santiago;Providencia;Enfermos cronicos de 11 a 64 años de edad;84;;;Establecimientos de salud;12-211;Clínica Indisa;Única
SEREMI Metropolitana de Santiago;Providencia;Enfermos cronicos de 11 a 64 años de edad;184;;;Establecimientos de salud;12-244;Hospital del Trabajador Santiago;Única
SEREMI Metropolitana de Santiago;Providencia;Enfermos cronicos de 11 a 64 años de edad;188;;;Establecimientos de salud;12-249;Clínica Santa María;Única
SEREMI Metropolitana de Santiago;Providencia;Enfermos cronicos de 11 a 64 años de edad;28;;;Establecimientos de salud;12-922;Vacunatorio Mediclown;Única
SEREMI Metropolitana de Santiago;Providencia;Enfermos cronicos de 11 a 64 años de edad;5;;;Establecimientos de salud;12-943;Vacunatorio RENVAC;Única
SEREMI Metropolitana de Santiago;Providencia;Enfermos cronicos de 11 a 64 años de edad;23;;;Establecimientos de salud;12-944;Vacunatorio Internacional Immunitas SpA;Única
SEREMI Metropolitana de Santiago;Providencia;Enfermos cronicos de 11 a 64 años de edad;14;;;Establecimientos de salud;12-945;Vacunatorio Clínica El Bosque;Única
SEREMI Metropolitana de Santiago;Providencia;Enfermos cronicos de 11 a 64 años de edad;4;;;Establecimientos de salud;12-998;Centro Médico HTS SpA;Única
SEREMI Metropolitana de Santiago;Providencia;Enfermos cronicos de 11 a 64 años de edad;23;;;Establecimientos de salud;201156;VAXPROSALUD;Única
SEREMI Metropolitana de Santiago;Pudahuel;Enfermos cronicos de 11 a 64 años de edad;119;;;Establecimientos de salud;201146;Centro Medico y Dental Del Valle;Única
SEREMI Metropolitana de Santiago;Recoleta;Enfermos cronicos de 11 a 64 años de edad;36;;;Establecimientos de salud;09-201;Clínica Dávila;Única
SEREMI Metropolitana de Santiago;Santiago;Enfermos cronicos de 11 a 64 años de edad;63;;;Establecimientos de salud;11-267;Centro Médico Vida Integra Alameda;Única
SEREMI Metropolitana de Santiago;Santiago;Enfermos cronicos de 11 a 64 años de edad;75;;;Establecimientos de salud;11-284;Centro Médico y Dental Megasalud Alameda;Única
SEREMI Metropolitana de Santiago;Santiago;Enfermos cronicos de 11 a 64 años de edad;47;;;Establecimientos de salud;11-291;Centro Médico y Dental Fundación Asistencial Trabajadores Del Banco del Estado de Chile;Única
SEREMI Metropolitana de Santiago;Santiago;Enfermos cronicos de 11 a 64 años de edad;264;;;Establecimientos de salud;11-292;Vacunatorio Marcoleta de la Pontificia Universidad Católica de Chile;Única
SEREMI Metropolitana de Santiago;Vitacura;Enfermos cronicos de 11 a 64 años de edad;304;;;Establecimientos de salud;12-200;Clínica Alemana;Única
SEREMI Metropolitana de Santiago;Vitacura;Enfermos cronicos de 11 a 64 años de edad;122;;;Establecimientos de salud;12-201;Clínica Tabancura;Única
SEREMI Metropolitana de Santiago;Vitacura;Enfermos cronicos de 11 a 64 años de edad;5;;;Establecimientos de salud;12-274;Procedimientos Clínicos Alto Tabancura;Única
SEREMI Metropolitana de Santiago;Vitacura;Enfermos cronicos de 11 a 64 años de edad;6;;;Establecimientos de salud;201092;Vacunatorio Medicien_Vitacura;Única
SEREMI Metropolitana de Santiago;Ñuñoa;Enfermos cronicos de 11 a 64 años de edad;600;;;Establecimientos de salud;12-240;Hospital Carabineros;Única
SEREMI Metropolitana de Santiago;Ñuñoa;Enfermos cronicos de 11 a 64 años de edad;28;;;Establecimientos de salud;12-942;Vacunatorio Varik;Única
