Comuna;Dosis;N° de vacunados;Criterio_elegibilidad;Servicio
Isla de Maipo;Única;88;Trabajadores de avícolas y de criaderos de cerdo;Occidente
La Cisterna;Única;341;Trabajadores de avícolas y de criaderos de cerdo;Sur
La Florida;Única;9;Trabajadores de avícolas y de criaderos de cerdo;Suroriente
La Granja;Única;8;Trabajadores de avícolas y de criaderos de cerdo;Suroriente
La Pintana;Única;608;Trabajadores de avícolas y de criaderos de cerdo;Suroriente
La Reina;Única;2;Trabajadores de avícolas y de criaderos de cerdo;Oriente
Lampa;Única;41;Trabajadores de avícolas y de criaderos de cerdo;Norte
Las Condes;Única;10;Trabajadores de avícolas y de criaderos de cerdo;Oriente
Lo Barnechea;Única;10;Trabajadores de avícolas y de criaderos de cerdo;Oriente
Lo Espejo;Única;3;Trabajadores de avícolas y de criaderos de cerdo;Sur
Lo Prado;Única;2;Trabajadores de avícolas y de criaderos de cerdo;Occidente
Macul;Única;1;Trabajadores de avícolas y de criaderos de cerdo;Oriente
Maipú;Única;16;Trabajadores de avícolas y de criaderos de cerdo;Central
María Pinto;Única;62;Trabajadores de avícolas y de criaderos de cerdo;Occidente
Melipilla;Única;1029;Trabajadores de avícolas y de criaderos de cerdo;Occidente
Paine;Única;36;Trabajadores de avícolas y de criaderos de cerdo;Sur
Pedro Aguirre Cerda;Única;6;Trabajadores de avícolas y de criaderos de cerdo;Sur
Peñaflor;Única;204;Trabajadores de avícolas y de criaderos de cerdo;Occidente
Peñalolén;Única;3;Trabajadores de avícolas y de criaderos de cerdo;Oriente
Pirque;EPRO;1;Trabajadores de avícolas y de criaderos de cerdo;Suroriente
Pirque;Única;156;Trabajadores de avícolas y de criaderos de cerdo;Suroriente
Providencia;Única;25;Trabajadores de avícolas y de criaderos de cerdo;Oriente
Pudahuel;Única;204;Trabajadores de avícolas y de criaderos de cerdo;Occidente
Puente Alto;Única;64;Trabajadores de avícolas y de criaderos de cerdo;Suroriente
Quilicura;Única;6;Trabajadores de avícolas y de criaderos de cerdo;Norte
Quinta Normal;Única;4;Trabajadores de avícolas y de criaderos de cerdo;Occidente
Recoleta;Única;7;Trabajadores de avícolas y de criaderos de cerdo;Norte
Renca;Única;5;Trabajadores de avícolas y de criaderos de cerdo;Occidente
San Bernardo;Única;477;Trabajadores de avícolas y de criaderos de cerdo;Sur
San Miguel;Única;1;Trabajadores de avícolas y de criaderos de cerdo;Sur
San Pedro;Única;682;Trabajadores de avícolas y de criaderos de cerdo;Occidente
San Ramón;Única;1;Trabajadores de avícolas y de criaderos de cerdo;Suroriente
Santiago;Única;50;Trabajadores de avícolas y de criaderos de cerdo;Central
Talagante;Única;113;Trabajadores de avícolas y de criaderos de cerdo;Occidente
Tiltil;Única;2;Trabajadores de avícolas y de criaderos de cerdo;Norte
Vitacura;Única;3;Trabajadores de avícolas y de criaderos de cerdo;Oriente
Ñuñoa;Única;2;Trabajadores de avícolas y de criaderos de cerdo;Oriente
Alhué;Única;17;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Occidente
Buin;Única;412;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Sur
Calera de Tango;Única;174;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Sur
Cerrillos;Única;315;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Central
Cerro Navia;Única;379;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Occidente
Colina;Única;1173;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Norte
Conchalí;Única;544;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Norte
Curacaví;Única;115;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Occidente
El Bosque;Única;1437;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Sur
El Monte;Única;37;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Occidente
Estación Central;Única;626;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Central
Huechuraba;Única;1162;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Norte
Independencia;Única;142;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Norte
Isla de Maipo;Única;197;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Occidente
La Cisterna;Única;302;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Sur
La Florida;EPRO;1;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Suroriente
La Florida;Única;942;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Suroriente
La Granja;Única;1173;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Suroriente
La Pintana;Única;798;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Suroriente
La Reina;Única;594;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Oriente
Lampa;Única;524;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Norte
Las Condes;Única;643;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Oriente
Lo Barnechea;Única;872;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Oriente
Lo Espejo;Única;185;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Sur
Lo Prado;Única;586;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Occidente
Macul;Única;803;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Oriente
Maipú;Única;1233;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Central
María Pinto;Única;167;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Occidente
Melipilla;EPRO;1;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Occidente
Melipilla;Única;1389;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Occidente
Padre Hurtado;Única;255;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Occidente
Paine;Única;350;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Sur
Pedro Aguirre Cerda;Única;610;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Sur
Peñaflor;Única;237;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Occidente
Peñalolén;Única;1071;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Oriente
Pirque;Única;128;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Suroriente
Providencia;Única;441;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Oriente
Pudahuel;EPRO;1;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Occidente
Pudahuel;Única;1019;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Occidente
Puente Alto;Única;2455;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Suroriente
Quilicura;Única;1047;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Norte
Quinta Normal;Única;1190;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Occidente
Recoleta;Única;643;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Norte
Renca;Única;627;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Occidente
San Bernardo;Única;1318;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Sur
San Joaquín;Única;674;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Sur
San José de Maipo;Única;88;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Suroriente
San Miguel;Única;697;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Sur
San Pedro;Única;27;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Occidente
San Ramón;Única;404;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Suroriente
Santiago;Única;870;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Central
Talagante;Única;415;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Occidente
Tiltil;Única;233;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Norte
Vitacura;Única;716;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Oriente
Ñuñoa;Única;232;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;Oriente
